11619 179 3054 3896 10347 179 2613 403 1 203 19 1 2003 25 6 192|14526 179 2613 403 1 179 2613 2555 1 21 22 40 6 657 7
14526 179 2613 403 1 179 2613 2555 1 21 22 40 6 657 7|21246 179 2613 2555 19132 179 2613 2683 23342 1 88 104 225 7
21246 179 2613 2555 19132 179 2613 2683 23342 1 88 104 225 7|18958 179 2613 2683 21105 179 2613 2681 1 1597 1255 10 2108
4252 179 2613 2595 1 179 2613 2765 16325 399 1 1|1 179 2613 899 22919 179 2613 1556 8839 1454 12
20671 179 2613 902 20897 179 2613 1525 18795 5 101 55 9 46|23876 179 2613 1525 17789 179 2613 1437 23403 60
24613 179 2613 1981 1 179 2613 659 20509 44 24 165 7|22136 179 2613 1839 20573 179 2613 1471 13813 5 195 114 17280 16 5 15 27 1 322 87 6 617
19567 179 2613 2661 19225 179 2613 2323 20144 53 1 19 26 8006 44 4 165|1 179 2613 2323 20192 179 2613 2650 22070 23 107 10 545 1576 6701 19014 179 2613 2650 6940 179 2613 2766 4252 1 487
1 179 2613 2323 20192 179 2613 2650 22070 23 107 10 545 1576 6701 19014 179 2613 2650 6940 179 2613 2766 4252 1 487|24344 179 2613 2766 23403 179 2613 2871 22520 5174
24344 179 2613 2766 23403 179 2613 2871 22520 5174|24847 179 2613 2871 18860 179 2613 3054 24004 21 22 28 201 7
20144 179 2613 2999 9776 179 2613 3198 22030 434 14348 694 7|1 179 2613 3273 24847 179 2613 3313 17592 9 1 196 100 17280 20 9541 7
1 179 2613 3273 24847 179 2613 3313 17592 9 1 196 100 17280 20 9541 7|1 179 2573 2681 21618 179 2573 2765 22361 45 4
4 56 4 30 124 175 20|8731 179 2573 2765 16073 179 2573 1041 14295 5 31 37 4 33 4146
8731 179 2573 2765 16073 179 2573 1041 14295 5 31 37 4 33 4146|24569 179 2573 1041 20880 179 2573 1556 19832 31 37 29 1
24569 179 2573 1041 20880 179 2573 1556 19832 31 37 29 1|24323 179 2573 1446 1 179 2573 1550 17138 60
24323 179 2573 1446 1 179 2573 1550 17138 60|1 179 2573 1550 13580 179 2573 1981 11582 93 26 9 6 522 254 7
